organism_name,common_name,description
Tupaia chinensis,Chinese tree shrew,Description
Tupaia belangeri,northern tree shrew,Description
Phodopus sungorus,Djungarian hamster,Description
Myodes glareolus,Bank vole,Description
Manis javanica,Malayan pangolin,Description
Loxodonta africana,African savanna elephant,Description
Myotis lucifugus,little brown bat,Description
Meriones unguiculatus,Mongolian gerbil,Description
Ursus americanus,American black bear,Description
Delphinapterus leucas,beluga whale,Description
Rousettus aegyptiacus,Egyptian rousette,Description
Pteropus alecto,black flying fox,Description
Bos frontalis,gayal,Description
Macaca fuscata fuscata,Japanese macaque,Description
Artibeus jamaicensis,Jamaican fruit-eating bat,Description
Ceratotherium simum simum,southern white rhinoceros,Description
Ochotona curzoniae,black-lipped pika,Description
Urocitellus parryii,Arctic ground squirrel,Description
Vulpes vulpes,red fox,Description
Nannospalax galili,Upper Galilee mountains blind mole rat,Description
Bos mutus,wild yak,Description
Bison bison bison,,Description
Odocoileus virginianus texanus,,Description
Nyctereutes procyonoides,raccoon dog,Description
Thomomys bottae,Botta's pocket gopher,Description
Microtus fortis,reed vole,Description
Sigmodon hispidus,hispid cotton rat,Description
Pteropus vampyrus,large flying fox,Description
Neotoma lepida,desert woodrat,Description
Peromyscus californicus insignis,,Description
Neophocaena asiaeorientalis asiaeorientalis,Yangtze finless porpoise,Description
Ursus thibetanus thibetanus,,Description
Capreolus capreolus,Western roe deer,Description
Daubentonia madagascariensis,aye-aye,Description
Myotis myotis,,Description
Eonycteris spelaea,lesser dawn bat,Description
Castor canadensis,American beaver,Description
Eumetopias jubatus,Steller sea lion,Description
Sapajus apella,tufted capuchin,Description
Rhizomys pruinosus,hoary bamboo rat,Description
Alces alces,Eurasian elk,Description
Fukomys damarensis,Damara mole-rat,Description
Spermophilus dauricus,Daurian ground squirrel,Description
Puma concolor,puma,Description
Galeopterus variegatus,Sunda flying lemur,Description
Octodon degus,degu,Description
Ovis canadensis,bighorn sheep,Description
Lynx rufus,bobcat,Description
Microtus californicus,California vole,Description
Lepus europaeus,European hare,Description
Phodopus roborovskii,desert hamster,Description
Dipodomys merriami,Merriam's kangaroo rat,Description
Monodon monoceros,narwhal,Description
Marmota flaviventris,yellow-bellied marmot,Description
Aotus nancymaae,Ma's night monkey,Description
Cercocebus atys,sooty mangabey,Description
Miniopterus schreibersii,Schreibers' long-fingered bat,Description
Psammomys obesus,fat sand rat,Description
Ondatra zibethicus,muskrat,Description
Lycaon pictus,African hunting dog,Description
Equus przewalskii,Przewalski's horse,Description
Tokudaia osimensis,Amami-oshima island spiny rat,Description
Rhabdomys pumilio,four-striped grass mouse,Description
Hipposideros armiger,great roundleaf bat,Description
Carlito syrichta,Philippine tarsier,Description
Trichechus manatus latirostris,Florida manatee,Description
Rhinopithecus bieti,black snub-nosed monkey,Description
Procavia capensis,Cape rock hyrax,Description
Microtus arvalis,Common vole,Description
Moschus moschiferus,Siberian musk deer,Description
Otolemur garnettii,small-eared galago,Description
Thryonomys swinderianus,Greater cane rat,Description
Addax nasomaculatus,,Description
Megaptera novaeangliae,humpback whale,Description
Marmota vancouverensis,Vancouver Island marmot,Description
Pontoporia blainvillei,franciscana,Description
Platanista gangetica,Ganges River dolphin,Description
Pteronotus parnellii mesoamericanus,,Description
Enhydra lutris kenyoni,northern sea otter,Description
Odobenus rosmarus divergens,Pacific walrus,Description
Petaurus breviceps papuanus,,Description
Ia io,Great evening bat,Description
Microtus oregoni,creeping vole,Description
Myotis yumanensis,,Description
Hoolock leuconedys,eastern hoolock gibbon,Description
Molossus molossus,Pallas's mastiff bat,Description
Corynorhinus townsendii,Townsend's big-eared bat,Description
Erythrocebus patas,red guenon,Description
Cebus albifrons,white-fronted capuchin,Description
Trachypithecus francoisi,Francois's langur,Description
Pipistrellus kuhlii,Kuhl's pipistrelle,Description
Dipodomys spectabilis,banner-tailed kangaroo rat,Description
Cephalopachus bancanus,Horsfield's tarsier,Description
Saimiri boliviensis boliviensis,Bolivian squirrel monkey,Description
Syncerus caffer,African buffalo,Description
Mastomys natalensis,African soft-furred rat,Description
Ovibos moschatus,muskox,Description
Arctocephalus gazella,antarctic fur seal,Description
Globicephala melas,long-finned pilot whale,Description
Hyaena hyaena,striped hyena,Description
Phoca vitulina,harbor seal,Description
Hylobates moloch,silvery gibbon,Description
Lagenorhynchus obliquidens,Pacific white-sided dolphin,Description
Solenodon paradoxus,Hispaniolan solenodon,Description
Antilocapra americana,pronghorn,Description
Mirounga leonina,Southern elephant seal,Description
Axis porcinus,Hog deer,Description
Tapirus terrestris,Brazilian tapir,Description
Hydrochoerus hydrochaeris,capybara,Description
Balaenoptera physalus,Fin whale,Description
Sousa chinensis,Indo-pacific humpbacked dolphin,Description
Phataginus tricuspis,Tree pangolin,Description
Marmota himalayana,Himalayan marmot,Description
